MUNICIPIO,CVE_MUN,cve_mun_sesnsp,anio,mes,n_desapariciones,n_hombres,n_mujeres,n_desaparecidos,n_no_localizados,n_delitos_libertad,n_extorsion,n_feminicidios,n_homicidios,n_robos,n_violencia_familiar,fecha,periodo_gobierno,post_2018,post_2024,pct_seguros_cdmx,pct_seguros_nacional,nom_alcaldia,pob_total,pob_femenina,pob_masculina,pob_18ymas,pob_15_64,tasa_desap_100k,tasa_desap_hombres,tasa_desap_mujeres,tasa_desap_anualizada,ratio_mujer_hombre
AZCAPOTZALCO,2,9002,2015,2,1,0,1,1,0,4,3,0,1,325,68,2015-02-01,PRD_Mancera,0,0,,,Azcapotzalco,432205,227255,204950,345123,306611,0.2313716870466561,0.0,0.44003432267716885,2.776460244559873,
AZCAPOTZALCO,2,9002,2015,3,2,1,0,2,0,3,3,0,9,353,83,2015-03-01,PRD_Mancera,0,0,32.48086274648866,31.916246154614303,Azcapotzalco,432205,227255,204950,345123,306611,0.4627433740933122,0.48792388387411567,0.0,5.552920489119746,0.0
AZCAPOTZALCO,2,9002,2016,1,1,1,0,1,0,2,3,0,4,333,66,2016-01-01,PRD_Mancera,0,0,26.32210324826413,32.4897062416334,Azcapotzalco,432205,227255,204950,345123,306611,0.2313716870466561,0.48792388387411567,0.0,2.776460244559873,0.0
AZCAPOTZALCO,2,9002,2016,11,1,1,0,1,0,7,4,0,4,482,50,2016-11-01,PRD_Mancera,0,0,11.898448966959036,30.06589663253005,Azcapotzalco,432205,227255,204950,345123,306611,0.2313716870466561,0.48792388387411567,0.0,2.776460244559873,0.0
AZCAPOTZALCO,2,9002,2017,4,1,1,0,1,0,6,2,0,3,441,82,2017-04-01,PRD_Mancera,0,0,11.956490657904776,29.641769765935337,Azcapotzalco,432205,227255,204950,345123,306611,0.2313716870466561,0.48792388387411567,0.0,2.776460244559873,0.0
AZCAPOTZALCO,2,9002,2017,7,1,0,1,1,0,4,3,0,3,480,66,2017-07-01,PRD_Mancera,0,0,11.931113433024986,27.594182339007034,Azcapotzalco,432205,227255,204950,345123,306611,0.2313716870466561,0.0,0.44003432267716885,2.776460244559873,
AZCAPOTZALCO,2,9002,2017,12,1,1,0,1,0,8,0,0,7,492,69,2017-12-01,PRD_Mancera,0,0,8.980911101261833,27.380615969357248,Azcapotzalco,432205,227255,204950,345123,306611,0.2313716870466561,0.48792388387411567,0.0,2.776460244559873,0.0
AZCAPOTZALCO,2,9002,2019,2,2,1,0,2,0,14,7,0,3,486,86,2019-02-01,Morena_Sheinbaum,1,0,16.47500110458631,27.50887439971201,Azcapotzalco,432205,227255,204950,345123,306611,0.4627433740933122,0.48792388387411567,0.0,5.552920489119746,0.0
AZCAPOTZALCO,2,9002,2019,3,1,0,0,1,0,10,3,1,10,480,96,2019-03-01,Morena_Sheinbaum,1,0,16.195554897435834,27.26033366620193,Azcapotzalco,432205,227255,204950,345123,306611,0.2313716870466561,0.0,0.0,2.776460244559873,
AZCAPOTZALCO,2,9002,2019,4,3,3,0,3,0,8,3,0,11,434,106,2019-04-01,Morena_Sheinbaum,1,0,15.826798045118116,27.600165713891162,Azcapotzalco,432205,227255,204950,345123,306611,0.6941150611399682,1.463771651622347,0.0,8.329380733679619,0.0
AZCAPOTZALCO,2,9002,2019,6,1,1,0,1,0,8,4,1,2,377,107,2019-06-01,Morena_Sheinbaum,1,0,15.08928434048268,28.279829809269625,Azcapotzalco,432205,227255,204950,345123,306611,0.2313716870466561,0.48792388387411567,0.0,2.776460244559873,0.0
AZCAPOTZALCO,2,9002,2019,9,3,3,0,3,0,13,6,0,5,383,111,2019-09-01,Morena_Sheinbaum,1,0,23.13966249082099,29.62975062736134,Azcapotzalco,432205,227255,204950,345123,306611,0.6941150611399682,1.463771651622347,0.0,8.329380733679619,0.0
AZCAPOTZALCO,2,9002,2019,10,5,3,2,5,0,22,6,1,4,402,107,2019-10-01,Morena_Sheinbaum,1,0,22.469083360057315,29.072555369733834,Azcapotzalco,432205,227255,204950,345123,306611,1.1568584352332805,1.463771651622347,0.8800686453543377,13.882301222799367,0.6666666666666666
AZCAPOTZALCO,2,9002,2019,11,2,2,0,2,0,12,4,0,13,392,92,2019-11-01,Morena_Sheinbaum,1,0,21.798504229293645,28.515360112106332,Azcapotzalco,432205,227255,204950,345123,306611,0.4627433740933122,0.9758477677482313,0.0,5.552920489119746,0.0
AZCAPOTZALCO,2,9002,2019,12,3,3,0,3,0,7,6,1,9,363,122,2019-12-01,Morena_Sheinbaum,1,0,21.12792509852997,27.958164854478827,Azcapotzalco,432205,227255,204950,345123,306611,0.6941150611399682,1.463771651622347,0.0,8.329380733679619,0.0
AZCAPOTZALCO,2,9002,2020,1,1,1,0,1,0,9,0,0,6,399,133,2020-01-01,Morena_Sheinbaum,1,0,21.523655281982414,27.639550720708556,Azcapotzalco,432205,227255,204950,345123,306611,0.2313716870466561,0.48792388387411567,0.0,2.776460244559873,0.0
AZCAPOTZALCO,2,9002,2020,2,2,1,1,2,0,12,5,0,12,399,137,2020-02-01,Morena_Sheinbaum,1,0,21.91938546543486,27.32093658693828,Azcapotzalco,432205,227255,204950,345123,306611,0.4627433740933122,0.48792388387411567,0.44003432267716885,5.552920489119746,1.0
AZCAPOTZALCO,2,9002,2020,3,2,2,0,2,0,8,2,0,6,405,143,2020-03-01,Morena_Sheinbaum,1,0,22.315115648887303,27.00232245316801,Azcapotzalco,432205,227255,204950,345123,306611,0.4627433740933122,0.9758477677482313,0.0,5.552920489119746,0.0
AZCAPOTZALCO,2,9002,2020,6,1,0,1,0,1,6,0,0,6,298,112,2020-06-01,Morena_Sheinbaum,1,0,23.97645234375351,30.017367567083987,Azcapotzalco,432205,227255,204950,345123,306611,0.2313716870466561,0.0,0.44003432267716885,2.776460244559873,
AZCAPOTZALCO,2,9002,2020,7,1,1,0,0,1,8,2,0,5,368,122,2020-07-01,Morena_Sheinbaum,1,0,24.530231242042248,31.02238260505598,Azcapotzalco,432205,227255,204950,345123,306611,0.2313716870466561,0.48792388387411567,0.0,2.776460244559873,0.0
